date,action,price,shares,abs_score,ref_score,final_score,pnl,pnl_pct
2019-03-15 00:00:00-04:00,BUY,6.599987983703613,14393,74.0,60.0,68.4,,
2019-04-05 00:00:00-04:00,SELL_PROFIT,7.326770782470703,14393,78.0,60.0,70.8,10460.584822654724,0.11011880636171285
2019-04-08 00:00:00-04:00,BUY,7.384058475494385,14211,78.0,60.0,70.8,,
2019-05-13 00:00:00-04:00,SELL_STOP,6.542654991149902,14211,34.0,62.5,45.4,-11957.18491601944,-0.11394864858354849
2019-06-17 00:00:00-04:00,BUY,7.003337860107422,13361,74.0,55.0,66.4,,
2019-07-02 00:00:00-04:00,SELL_PROFIT,7.75881290435791,13361,78.0,47.5,65.8,10093.902066230774,0.1078735681957946
2019-07-03 00:00:00-04:00,BUY,7.930673599243164,13008,78.0,47.5,65.8,,
2019-08-02 00:00:00-04:00,SELL_STOP,7.366156578063965,13008,62.0,55.0,59.199999999999996,-7343.237411499023,-0.07118147205466531
2019-09-05 00:00:00-04:00,BUY,7.707491397857666,12480,74.0,55.0,66.4,,
2019-09-24 00:00:00-04:00,SELL_STOP,7.276644706726074,12480,38.0,55.0,44.8,-5376.966705322266,-0.05589973039105145
2019-09-25 00:00:00-04:00,BUY,7.509374141693115,12129,74.0,55.0,66.4,,
2019-10-02 00:00:00-04:00,SELL_STOP,6.809995174407959,12129,26.0,62.5,40.6,-8482.76749420166,-0.09313412197723703
2019-10-14 00:00:00-04:00,BUY,7.579789638519287,10953,70.0,55.0,64.0,,
2019-10-28 00:00:00-04:00,SELL_PROFIT,8.341229438781738,10953,78.0,47.5,65.8,8340.050132274628,0.10045658739563629
2019-10-29 00:00:00-04:00,BUY,8.149078369140625,11160,78.0,47.5,65.8,,
2019-11-15 00:00:00-05:00,SELL_PROFIT,8.976161003112793,11160,74.0,47.5,63.4,9230.242195129395,0.10149400907766572
2019-11-18 00:00:00-05:00,BUY,9.022705078125,11051,78.0,47.5,65.8,,
2019-12-19 00:00:00-05:00,SELL_PROFIT,10.04074478149414,11051,74.0,60.0,68.4,11250.356761932373,0.11283087439456665
2019-12-20 00:00:00-05:00,BUY,10.1600923538208,10866,74.0,52.5,65.4,,
2020-01-09 00:00:00-05:00,SELL_PROFIT,11.262165069580078,10866,78.0,52.5,67.8,11975.122129440308,0.10847073799923013
2020-01-10 00:00:00-05:00,BUY,11.170233726501465,10902,78.0,52.5,67.8,,
2020-02-04 00:00:00-05:00,SELL_PROFIT,12.491890907287598,10902,78.0,60.0,70.8,14408.70658493042,0.11831956368562738
2020-02-05 00:00:00-05:00,BUY,12.636357307434082,10720,78.0,60.0,70.8,,
2020-02-19 00:00:00-05:00,SELL_PROFIT,14.095314979553223,10720,78.0,52.5,67.8,15640.026245117188,0.11545713979303376
2020-02-20 00:00:00-05:00,BUY,13.694161415100098,10977,74.0,52.5,65.4,,
2020-02-21 00:00:00-05:00,SELL_STOP,12.910955429077148,10977,74.0,52.5,65.4,-8597.252108573914,-0.057192694191506604
2020-02-24 00:00:00-05:00,BUY,11.423343658447266,12444,66.0,55.0,61.6,,
2020-02-25 00:00:00-05:00,SELL_STOP,10.499255180358887,12444,50.0,55.0,52.0,-11499.357021331787,-0.08089474550693741
2020-04-14 00:00:00-04:00,BUY,7.630286693572998,17199,78.0,42.5,63.8,,
2020-04-21 00:00:00-04:00,SELL_STOP,6.856632709503174,17199,78.0,45.0,64.8,-13306.074872016907,-0.10139251841237815
2020-04-22 00:00:00-04:00,BUY,7.463138103485107,15890,78.0,42.5,63.8,,
2020-04-29 00:00:00-04:00,SELL_PROFIT,8.274999618530273,15890,78.0,50.0,66.8,12900.479474067688,0.10878286101473134
2020-04-30 00:00:00-04:00,BUY,8.32991886138916,15708,78.0,50.0,66.8,,
2020-05-01 00:00:00-04:00,SELL_STOP,7.582530498504639,15708,78.0,50.0,66.8,-11739.976404190063,-0.08972336649625917
2020-05-04 00:00:00-04:00,BUY,7.849966526031494,15248,78.0,50.0,66.8,,
2020-05-08 00:00:00-04:00,SELL_PROFIT,8.9292631149292,15248,78.0,55.0,68.8,16457.114387512207,0.13749059761192858
2020-05-11 00:00:00-04:00,BUY,9.151330947875977,14788,78.0,47.5,65.8,,
2020-05-12 00:00:00-04:00,SELL_STOP,8.606904983520508,14788,78.0,55.0,68.8,-8050.971160888672,-0.05949145183978184
2020-05-13 00:00:00-04:00,BUY,8.280966758728027,15418,74.0,55.0,66.4,,
2020-05-18 00:00:00-04:00,SELL_PROFIT,9.20624828338623,15418,78.0,60.0,70.8,14265.990547180176,0.11173593031066921
2020-05-19 00:00:00-04:00,BUY,9.135807037353516,15459,78.0,60.0,70.8,,
2020-06-02 00:00:00-04:00,SELL_PROFIT,10.203165054321289,15459,78.0,52.5,67.8,16500.28758430481,0.11683237316677919
2020-06-03 00:00:00-04:00,BUY,10.341660499572754,15172,78.0,52.5,67.8,,
2020-06-10 00:00:00-04:00,SELL_PROFIT,11.620338439941406,15172,78.0,52.5,67.8,19400.101711273193,0.12364338787001164
2020-06-11 00:00:00-04:00,BUY,9.909463882446289,17694,78.0,60.0,70.8,,
2020-06-16 00:00:00-04:00,SELL_PROFIT,11.035324096679688,17694,78.0,55.0,68.8,19920.970630645752,0.11361464430257999
2020-06-17 00:00:00-04:00,BUY,11.142775535583496,17434,78.0,60.0,70.8,,
2020-07-02 00:00:00-04:00,SELL_PROFIT,12.3319091796875,17434,78.0,52.5,67.8,20731.355951309204,0.10671790347984735
2020-07-06 00:00:00-04:00,BUY,13.238086700439453,16162,78.0,52.5,67.8,,
2020-08-03 00:00:00-04:00,SELL_PROFIT,14.784201622009277,16162,74.0,60.0,68.4,24988.3093624115,0.11679292911100961
2020-08-04 00:00:00-04:00,BUY,14.976423263549805,15871,74.0,60.0,68.4,,
2020-08-11 00:00:00-04:00,SELL_STOP,14.108450889587402,15871,74.0,60.0,68.4,-13775.589547157288,-0.057955919026067254
2020-08-12 00:00:00-04:00,BUY,15.163866996765137,14812,74.0,60.0,68.4,,
2020-08-21 00:00:00-04:00,SELL_PROFIT,16.872352600097656,14812,78.0,60.0,70.8,25306.08875656128,0.11266820024845811
2020-08-24 00:00:00-04:00,BUY,17.185157775878906,14469,78.0,60.0,70.8,,
2020-08-31 00:00:00-04:00,SELL_PROFIT,19.264951705932617,14469,78.0,52.5,67.8,30092.538373947144,0.12102268464319312
2020-09-01 00:00:00-04:00,BUY,20.265453338623047,13680,78.0,52.5,67.8,,
2020-09-03 00:00:00-04:00,SELL_STOP,17.637649536132812,13680,78.0,60.0,70.8,-35948.356018066406,-0.12966913488592025
2020-09-04 00:00:00-04:00,BUY,16.910560607910156,14375,74.0,55.0,66.4,,
2020-09-08 00:00:00-04:00,SELL_STOP,14.520349502563477,14375,66.0,55.0,61.6,-34359.28463935852,-0.14134428543005395
2020-09-09 00:00:00-04:00,BUY,15.767986297607422,13346,66.0,55.0,61.6,,
2020-09-10 00:00:00-04:00,SELL_STOP,14.855836868286133,13346,62.0,50.0,57.199999999999996,-12173.546283721924,-0.05784818759385245
2020-10-05 00:00:00-04:00,BUY,15.9578218460083,12463,74.0,50.0,64.4,,
2020-10-06 00:00:00-04:00,SELL_STOP,15.100590705871582,12463,58.0,50.0,54.8,-10683.671699523926,-0.05371855560294697
2020-10-07 00:00:00-04:00,BUY,15.894542694091797,11874,74.0,50.0,64.4,,
2020-10-12 00:00:00-04:00,SELL_PROFIT,18.417272567749023,11874,78.0,55.0,68.8,29954.89451980591,0.15871673203878695
